experiment,feature_set,model,T,n_features,n_rows,n_splits,MAE,RMSE,R2,Spearman,Bias,mode,log_target,base_model,residual_model,n_base_features,n_residual_features
direct_T7_raw_source_hgb_slow_log1p,raw_source,hgb_slow,7,959,275,5,6.766463833181749,12.666397530617912,0.4139878666902752,0.6207677021165455,-1.9995182687441593,direct_temporal,True,,,,
direct_T7_tabular_plus_raw_source_et_leaf2_raw,tabular_plus_raw_source,et_leaf2,7,1043,275,5,7.005291941507476,12.667781870054139,0.41385976648887157,0.7104388217304751,0.09869593250810417,direct_temporal,False,,,,
direct_T7_tabular_plus_raw_source_rf_leaf2_raw,tabular_plus_raw_source,rf_leaf2,7,1043,275,5,7.9022848024037255,12.694241948150689,0.41140858534160907,0.5941196157064135,0.33818209532760685,direct_temporal,False,,,,
direct_T7_top30_source_et_leaf1_log1p,top30_source,et_leaf1,7,210,275,5,6.822721073758895,12.7308516032144,0.4080087445797026,0.6755978793430711,-1.8177233246697138,direct_temporal,True,,,,
direct_T7_tabular_rf_leaf2_raw,tabular,rf_leaf2,7,84,275,5,7.489509542811328,12.807602897392067,0.4008492774595813,0.6741461585066789,0.08479634277845734,direct_temporal,False,,,,
direct_T7_top30_source_et_leaf2_log1p,top30_source,et_leaf2,7,210,275,5,6.851818237974382,12.813045805576248,0.40033992136152285,0.6762885723557117,-1.878074623758094,direct_temporal,True,,,,
direct_T7_top30_source_et_leaf1_raw,top30_source,et_leaf1,7,210,275,5,7.59170805225943,12.81838489294,0.3998400707179547,0.6261374508012855,0.575323138529807,direct_temporal,False,,,,
direct_T7_tabular_rf_leaf2_log1p,tabular,rf_leaf2,7,84,275,5,6.718460407633375,12.892397159690688,0.39288951751054046,0.7098283373243703,-2.1487008057045918,direct_temporal,True,,,,
direct_T7_tabular_plus_raw_source_rf_leaf2_log1p,tabular_plus_raw_source,rf_leaf2,7,1043,275,5,6.913323445904553,12.953045785623347,0.3871641242111352,0.6750076454805113,-2.1868769177106926,direct_temporal,True,,,,
direct_T7_top30_source_et_leaf3_log1p,top30_source,et_leaf3,7,210,275,5,6.952319779440506,12.974735368721268,0.38511004618499245,0.6667677413543999,-1.9483351230159154,direct_temporal,True,,,,
direct_T7_tabular_ridge_raw,tabular,ridge,7,84,275,5,8.86662302933209,12.9835434277001,0.3842749115669094,0.5139540117134531,0.36486952808563344,direct_temporal,False,,,,
direct_T7_tabular_plus_top30_source_rf_leaf2_raw,tabular_plus_top30_source,rf_leaf2,7,294,275,5,7.847908004218301,13.042402888752415,0.37867961396420746,0.6375788350018753,0.24705755645511732,direct_temporal,False,,,,
